entity_id,sku,small_image
374363,HGWIS07730-COLOR,/H/G/HGWIS07730-COLOR_1.jpeg
374359,P23502-GREY,/P/2/P23502-GREY_1.jpeg
374355,HGWKP10285-GREY,/H/G/HGWKP10285-GREY_1.jpeg
374351,HB22113-BLACK,/H/B/HB22113-BLACK_1.jpeg
374347,FDC0555-BLACK,/F/D/FDC0555-BLACK_1.jpeg
374343,FD9798-WHITE,/F/D/FD9798-WHITE_1.jpeg
374339,FD9798-BROWN,/F/D/FD9798-BROWN_1.jpeg
374335,T2113-RED,/t/2/t2113-red_1.jpeg
374331,T2106-PURPLE,/t/2/t2106-purple_1.jpeg
374327,P289815A-BLACK,/P/2/P289815A-BLACK_1.jpeg
374323,P289815A-WHITE,/P/2/P289815A-WHITE_1.jpeg
374319,P3312111Y-RED,/P/3/P3312111Y-RED_1.jpeg
374315,P2C11357Y-BLACK,/P/2/P2C11357Y-BLACK_1.jpeg
374311,S3713409Y-MULTI,/S/3/S3713409Y-MULTI_1.jpeg
374307,D258603K-GREEN,/D/2/D258603K-GREEN_1.jpeg
374303,"D3713447Y-ROSE RED",/D/3/D3713447Y-ROSE_RED_1.jpeg
374299,S3211644Y-PINK,/S/3/S3211644Y-PINK_1.jpeg
374295,D258852-BLUE,/D/2/D258852-BLUE_1.jpeg
374291,D258852-APRICOT,/D/2/D258852-APRICOT_1.jpeg
374287,D269000-RED,/D/2/D269000-RED_1.jpeg
374283,D3211783Y-BLACK,/D/3/D3211783Y-BLACK_1.jpg
374279,D3914120Y-WHITE,/D/3/D3914120Y-WHITE_1.jpeg
374275,D3914260Y-BLACK,/D/3/D3914260Y-BLACK_1.jpeg
374271,T3914166Y-BLACK,/T/3/T3914166Y-BLACK_1.jpeg
374267,T3B14714Y-BLACK,/T/3/T3B14714Y-BLACK_1.jpeg
374263,T3C15378Y-WHITE,/T/3/T3C15378Y-WHITE_1.jpeg
374259,D3C15327Y-WHITE,/D/3/D3C15327Y-WHITE_1.jpeg
